id,question,option_a,option_b,option_c,option_d,correct_answer,question_type,question_level,topic,subject_domain,language,model_raw,prediction,is_correct
6cda890c-2f56-46fa-bb5d-8cee9835c23f,"Immune disorders include .....,",Hypersensitivity,auto-immune diseases,immunodeficiency,all of these,D,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,D. all of these. The Ayurveda concept of immune disorders is,D,True
5b177fe6-d7d7-486a-aeef-ab47f4da428a,Snigdha and Ruksha Udvartan are the types mentioned by Acharya………,Sushruta,Charak,Sharangdhar,Vagbhat,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,"B) Charak, as he has mentioned the types of Udvart",B,True
346685e2-2be4-48ef-b5d2-bc51f82cbed4,Which of the following is not charakokta nabhivikara__________.,Vinamika,Vijrumbhika,Pindilika,Nabhipaka,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"A. Vinamika, B. Vijrumbhika, C",A,False
692f6618-7b68-4dee-9e9e-24d4f0218559,"In Charak Samhita, total number of Pushpaasava are --------------- in number.",2,4,9,10,B,MCQ,Easy,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"C) 9, 10, 11, 12,",C,False
f14335e7-f1df-4dde-b0c3-877c49cbcdf3,Amla Kamji is used in ................... Sneha Basti Vyapad,Annavrutta,Kaphavrutta,Pittavrutta,Vatavrutta,D,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,D) Vatavrutta,D,True
a384e6d5-4166-4b88-bdfb-1ea86a2a52f0,The main office of W. H. O. is at ………………………..,Singapore,Dubai,Geneva- Switzerland,California,C,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,C) Geneva- Switzerland. The World Health Organization (W.H.O.),C,True
a07ba2f6-1927-403e-81ab-cb8f5f6800e4,Number of Basti recommended in ‘Karma Basti’ schedule is,Eight,Thirty,Fifteen,Forty,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,"C) Fifteen. Basti is a therapeutic enema, and the",C,False
59b8ca5d-35fe-4fae-93ab-08aadb985b4f,Combination of two Sneha is called as,Single Sneha,Yamak Sneha,Trivruta Sneha,Mahasneha,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,B) Yamak Sneha. Combination of two Sneha is called as,B,True
7bde06d3-f52b-4167-b40d-8485d687046d,"Generally in all types of Mada and Murcha ---------------- DoshaNashakChikitsa is
recommended to be done as per Ashtangsangrahakara.",Vata-Kapha,Vata-Pitta,Pitta- Kapha,Tridosha,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,D) Tridosha. Generally in all types of Mada and M,D,False
2573b9c5-97c1-4797-9ee4-83af37e59b22,Udumbaradi Pradeha is mentioned as bahya parimarjan chikitsa in which of the following diseases?,Kushta,Visarpa,Prameha pidika,Vata Vyadhi,C,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,D. Vata Vyadhi (Arthritis) is the condition where,D,False
ad662ffe-9194-4d84-ba56-55f454e80fc0,"As per Charak Samhita, Vaidya must be Knowledgeable of -------",ºE TC FAVªLE its End,रोगविशेषज्ञः,देशकालप्रमाणज्ञः,A and B,D,MCQ,Easy,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"D) A and B, as Vaidya must be Knowledgeable of",D,True
