id,question,option_a,option_b,option_c,option_d,correct_answer,question_type,question_level,topic,subject_domain,language,model_raw,prediction,is_correct
6cda890c-2f56-46fa-bb5d-8cee9835c23f,"Immune disorders include .....,",Hypersensitivity,auto-immune diseases,immunodeficiency,all of these,D,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"D. all of these 

**Ayurvedic Perspective:**

Ay",D,True
5b177fe6-d7d7-486a-aeef-ab47f4da428a,Snigdha and Ruksha Udvartan are the types mentioned by Acharya………,Sushruta,Charak,Sharangdhar,Vagbhat,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,"**D: Vagbhat**

Snigdha (oily)",D,False
346685e2-2be4-48ef-b5d2-bc51f82cbed4,Which of the following is not charakokta nabhivikara__________.,Vinamika,Vijrumbhika,Pindilika,Nabhipaka,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"**D: Nabhipaka**

**Explanation:**

* **Char",D,True
692f6618-7b68-4dee-9e9e-24d4f0218559,"In Charak Samhita, total number of Pushpaasava are --------------- in number.",2,4,9,10,B,MCQ,Easy,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"**C: 9**

In Charak Samhita, there are",C,False
f14335e7-f1df-4dde-b0c3-877c49cbcdf3,Amla Kamji is used in ................... Sneha Basti Vyapad,Annavrutta,Kaphavrutta,Pittavrutta,Vatavrutta,D,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,"**D: Vatavrutta**

Amla Kamji is a type",D,True
a384e6d5-4166-4b88-bdfb-1ea86a2a52f0,The main office of W. H. O. is at ………………………..,Singapore,Dubai,Geneva- Switzerland,California,C,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,"C. Geneva- Switzerland 

While Ayurveda focuses on holistic health and well",C,True
a07ba2f6-1927-403e-81ab-cb8f5f6800e4,Number of Basti recommended in ‘Karma Basti’ schedule is,Eight,Thirty,Fifteen,Forty,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,"**A: Eight**

Karma Basti is a specialized Ayurvedic treatment involving",A,False
59b8ca5d-35fe-4fae-93ab-08aadb985b4f,Combination of two Sneha is called as,Single Sneha,Yamak Sneha,Trivruta Sneha,Mahasneha,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,"B. Yamak Sneha 

**Explanation:**

In Ayurveda,",B,True
7bde06d3-f52b-4167-b40d-8485d687046d,"Generally in all types of Mada and Murcha ---------------- DoshaNashakChikitsa is
recommended to be done as per Ashtangsangrahakara.",Vata-Kapha,Vata-Pitta,Pitta- Kapha,Tridosha,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"**D: Tridosha**

**Explanation:**

In Ayurveda,",D,False
2573b9c5-97c1-4797-9ee4-83af37e59b22,Udumbaradi Pradeha is mentioned as bahya parimarjan chikitsa in which of the following diseases?,Kushta,Visarpa,Prameha pidika,Vata Vyadhi,C,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"**A: Kushta**

**Explanation:**

Udumbaradi",A,False
ad662ffe-9194-4d84-ba56-55f454e80fc0,"As per Charak Samhita, Vaidya must be Knowledgeable of -------",ºE TC FAVªLE its End,रोगविशेषज्ञः,देशकालप्रमाणज्ञः,A and B,D,MCQ,Easy,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"**C: देशकालप्रमाणज्ञः**

**Explanation:**",C,False
3adcc97e-0f37-49a5-9601-4336ec26e1a8,“{r]stana{drvalaIivaSaoYaroKaa…..” in sagarbhawastha is called as ____.,Kikkisa,Vaivarna,Pidaka,Pitika,A,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,en,"**A: Kikkisa**

**Explanation:**

The term ""{",A,True
8023f6f5-ca2a-43dd-975f-35dc07837c69,Dashamooladi Ghruta is used in……vyadhi,Kasa vyadhi,Shosh,Pandu,Shwasa,B,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,en,"**D: Shwasa**

**Explanation:**

Dashamoo",D,False
56fd56bb-11e5-4b23-9ef1-1707b4c11009,Author of Rasakamadhenu is,Chudamani Mishra,Krishnagopal bhatta,Trimalla Bhatta,Vagbhat,A,MCQ,Easy,Rasashastra,Dravyaguna & Bhaishajya,en,"**A: Chudamani Mishra**

Rasakamadhenu",A,True
413b8d55-1a1a-4c0c-8dda-e45c09ec453b,Visarpa developed internally is ---------,Gambhira,Mrudu,Uttana,Daaruna,A,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"**A: Gambhira**

**Explanation:**

Visarpa refers to",A,True
63563643-a42c-407d-8f2e-5e92c2251ab9,The fundamental operating principle of medical ultrasound transducers is,Snell’s law,ALARA principle,Piezoelectric effect,Impedance effect,C,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,"C. Piezoelectric effect 

**Explanation:**

While Ayurveda focuses",C,True
20636cea-186c-450d-bd06-b347fc39c91a,Best drug of choice in Kasa as per Ashtanga Sangraha is,Kantakari,Kulanjana,Bruhati,Karkatshrungi,D,MCQ,Easy,Dravyaguna Vigyan,Dravyaguna & Bhaishajya,en,"A: Kantakari 

**Explanation:**

Ashtanga Sang",A,False
473af37b-2195-46f3-b2ff-467323c399bd,"……………acharya quoted, shukra is devoid of mala",Charaka,Sushrut,Both,Bhavaprakash,C,MCQ,Medium,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),en,"A: Charaka 

**Explanation:**

The statement ""shuk",A,False
90272f1e-d3cb-482a-ba54-abbd683feece,Mutra krushtra' is the lakshana of,Mutrakshaya,Mutravriddhi,Purisha vriddhi,Purisha kshaya,A,MCQ,Easy,Srotas,Samhita & Siddhanta (Fundamentals),en,"A: Mutrakshaya 

**Explanation:**

* **Mut",A,True
1ebd6bcf-11df-4c8a-8f41-c138664420a7,........ Siddha KwathaBasti can be used as a PittaghnaBasti,Nyagrodhadigana,Aragvadhadigana,Pippalyadigana,Jimutakadigana,C,MCQ,Hard,Panchakarma,Panchakarma & Rasayana,en,"**B: Aragvadhadigana**

**Explanation:**

*",B,False
c95626c5-1b29-4a11-825b-a4f534301032,Aakshi is ...,Indriya,Indriyaarth,Indriya-aadhisthan,Indriyadravya,A,MCQ,Medium,Siddhanta,Samhita & Siddhanta (Fundamentals),en,"Aakshi is **A: Indriya**.

**Explanation:**",A,True
dd867b60-2b6e-4bfd-b306-6df4a955e058,CSME is present in…….,Diabetic retinopathy,Hypertensive retinopathy,Retinopathy of prematurity,None of above,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"A: Diabetic retinopathy 

**Explanation:**

CSME stands for",A,True
56536858-69cb-45fc-8160-e482f27e59a7,Total duration of ventricular systole is .... Sec,0.8,0.1,0.3,0.08,C,MCQ,Easy,Physiology,Sharir (Anatomy & Physiology),en,"**A: 0.8**

While Ayurveda doesn't directly",A,False
a5279834-abe7-4ef6-b477-ac2897e80228,".......... of the following is the content of ""rajapravartini vati"" :",Trikatu,Tankan,Ela,Hingu,D,MCQ,Medium,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,"**D: Hingu**

Rajapravartini Vati is",D,True
6d7253f6-30b2-412a-86e1-b27e2dd65a33,In gonadal agenesis the pattern of sex chromosome is ...,XY,XXY,XX,0,D,MCQ,Medium,Forensic Medicine,Agad Tantra & Forensic Medicine,en,"**A: XY**

**Ayurvedic Perspective:**

While Ayurveda",A,False
56990cab-b235-4585-b519-dbdcb6c6a78c,Kasamarda is included in,Hikkanigrahana Mahakashaya,Kasahara Mahakashaya,Shwashara Mahakashaya,None of Above,D,MCQ,Easy,Dravyaguna Vigyan,Dravyaguna & Bhaishajya,en,"**B: Kasahara Mahakashaya**

Kasamarda (Cost",B,False
efd8fef3-aaa4-4c74-998d-ec2a88016ea5,The Glucagon is:,Accelerates the conversion of glycogen into glucose.,Slows down glucose formation from lactic acid.,Decreases the conversion of glycogen into glucose,Speeds up protein synthesis within cells.,A,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,"A. Accelerates the conversion of glycogen into glucose. 

**Ay",A,True
b685a732-1bb8-40d8-b2ec-c921c46aaba3,In pittaj oshatha prakop ....................................................................................................................................................,rukshatwa,daha/paka,khar,none of above,B,MCQ,Easy,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,"**B: daha/paka**

**Explanation:**

* **Pit",B,True
1b435014-19f8-46bb-890f-9a32baa6645f,In which stage of demographic cycle India has recently entered?,Highly stationary,Early Expanding,Late expanding,Low Stationary,C,MCQ,Medium,Public Health,Swasthavritta & Public Health,en,"**C: Late expanding**

While Ayurveda doesn't directly address demographic",C,True
d494885d-4d89-4388-9442-fec286a42947,Superficial cauterization can be done,Under local anesthesia,Without anesthesia,Under general anesthesia,Under spinal anesthesia,B,MCQ,Easy,Gynecology,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,"A: Under local anesthesia 

**Explanation:**

Ayurveda emphasizes",A,False
e41bdd06-cb1a-4006-ac68-a2af65174b00,Types of fungi are ... .,Motile and non motile,Arobic and anarobic,Moulds and Yeasts,RNA and DNA,C,MCQ,Easy,Roganidan Evam Vikriti Vigyana,Roga Vigyana (Diagnostics & Pathology),en,"C: Moulds and Yeasts 

**Ayurvedic Perspective:**",C,True
e9dc862c-e1b4-464d-83dd-937c85fdee69,Sadya Snehan can be done in ..,Krura koshti Atur,Alpa Dosha Yukta Atur,Uttam Bala Yukta Atur,Vatapradhanta,B,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,"**B: Alpa Dosha Yukta Atur**

**Explanation",B,True
d4df4a5a-eee5-439a-8cfc-8551ba6dc0cb,"An industrial worker reported to you with complaints of cough, history of dyspnoea on exertion and pain in the chest. His X-ray chest showed snow storm appearance. The diagnosis would be:",Asbestosis,Siderosis,Silicosis,Aspergillosis,C,MCQ,Medium,Public Health,Swasthavritta & Public Health,en,"**C: Silicosis**

**Ayurvedic Analysis:**

*",C,True
02d2ef4c-2c25-48e5-9bbe-5f6cb30492c9,Fana marma is in ... ...,karna,mukha,nasa,none of above,C,MCQ,Easy,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,"A. karna 

**Explanation:**

Fana marma is located",A,False
58ec0d78-9b96-4e95-ba67-be36db58466e,"According to Sushrut, How many types of Loota Visha are Sadhya and Asadhya?","10 Sadhya, 6 Asadhya","8 Sadhya, 8 Asadhya","12 Sadhya, 4 Asadhya","9 Sadhya, 7 Asadhya",A,MCQ,Medium,Agad Tantra,Agad Tantra & Forensic Medicine,en,"**D: 9 Sadhya, 7 Asadhya**",D,False
83ed8cf0-f8da-4cde-a3d9-a599477db822,"According to Karmukatwa, there are ........ Sthavar Snehashaya mentioned by Acharya Sushruta.",8,10,12,14,C,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,"**C: 12**

According to Karmukatwa,",C,True
20fd2f57-fed9-4e6a-b9d2-a0b97bf00de1,"In Charak Samhita, Ushna, Snigdha Aahaara as Guna are stated as --- Aahaara Vidhi vidhana",Aahaara Parinaamakara Bhava,Aahara Vidhi Visheshaayatana,A and B,None of above,C,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"**C: A and B**

**Explanation:**

* **U",C,True
f03205f3-fe83-4efe-afab-d5e9b04dc19d,"The inappropriate response of immune system towards a relatively harmless antigen
causing harm to the host is referred as……",Hypersensitivity,auto-immune diseases,immunodeficiency,Tolerance,A,MCQ,Easy,Ayurvedic Immunology,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"A: Hypersensitivity 

**Ayurvedic Perspective:**

While Ayurveda",A,True
